,SMILES,%F,logK(%F),MolW(Da),NumHAcceptors,NumHDonors,LogP,Lipinski_rule,Category
1133,Cc1cn(-c2cc(N=C(O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,30.0,-0.3679767852945944,529.5260000000001,7,2,6.7398400000000045,0,0
1134,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,30.0,-0.367976785,529.5260000000001,7,2,6.355840000000005,0,0
1135,Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,82.0,0.658541347,224.216,5,2,-0.7090799999999999,1,1
1136,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,63.0,0.231138825,267.245,6,2,-0.1962800000000001,1,0
1137,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)nc1O,63.0,0.2311388253865867,267.24499999999995,7,2,0.2160199999999997,1,0
1138,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,68.0,0.327358934,242.231,6,3,-1.5142799999999992,1,0
1139,Cc1cn(C2CC(O)C(CO)O2)c(=O)nc1O,68.0,0.3273589343863303,242.231,7,3,-1.10198,1,0
1140,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,95.0,1.278753601,445.5450000000002,6,3,2.0781199999999997,1,1
1141,Cc1cnc(C(=O)O)c[n+]1[O-],90.0,0.954242509,154.12499999999997,3,1,-0.2783799999999999,1,1
1142,Cc1cnc(C(O)=NCCc2ccc(S(=O)(=O)NC(O)=NC3CCCCC3)cc2)cn1,95.0,1.2787536009528289,445.5450000000002,6,3,2.8573200000000005,1,1
1143,Cc1cnc(CS(=O)c2nc3ccccc3[nH]2)cc1OCC(F)(F)F,81.0,0.629731418,369.3680000000001,4,1,3.515220000000002,1,1
1144,Cc1cnc(N=C(O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,97.0,1.5096504795465824,351.4090000000001,6,2,2.6004200000000006,1,1
1145,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,97.0,1.50965048,351.4090000000001,6,2,1.95092,1,1
1146,Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1,50.0,0.0,415.96800000000025,3,0,5.6349200000000055,0,0
1147,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,84.0,0.7201593034059569,316.382,5,1,3.723200000000002,1,1
1148,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)ccc2[nH]1,15.0,-0.753327667,458.4960000000002,7,4,1.9772199999999995,1,0
1149,Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2,50.0,0.0,411.46900000000016,6,1,3.4199400000000013,1,0
